"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","matrix.agent.diplomatie.tchap.gouv.fr/143.196.253.101","443","INFO","HTTP","",""
"pre_128cipher","matrix.agent.diplomatie.tchap.gouv.fr/143.196.253.101","443","INFO","No 128 cipher limit bug","",""
"SSLv2","matrix.agent.diplomatie.tchap.gouv.fr/143.196.253.101","443","OK","not offered","",""
"SSLv3","matrix.agent.diplomatie.tchap.gouv.fr/143.196.253.101","443","OK","not offered","",""
"TLS1","matrix.agent.diplomatie.tchap.gouv.fr/143.196.253.101","443","INFO","not offered","",""
"TLS1_1","matrix.agent.diplomatie.tchap.gouv.fr/143.196.253.101","443","INFO","not offered","",""
"TLS1_2","matrix.agent.diplomatie.tchap.gouv.fr/143.196.253.101","443","OK","offered","",""
"TLS1_3","matrix.agent.diplomatie.tchap.gouv.fr/143.196.253.101","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN","matrix.agent.diplomatie.tchap.gouv.fr/143.196.253.101","443","INFO","http/1.1","",""
"cipherlist_NULL","matrix.agent.diplomatie.tchap.gouv.fr/143.196.253.101","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","matrix.agent.diplomatie.tchap.gouv.fr/143.196.253.101","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","matrix.agent.diplomatie.tchap.gouv.fr/143.196.253.101","443","OK","not offered","","CWE-327"
"cipherlist_LOW","matrix.agent.diplomatie.tchap.gouv.fr/143.196.253.101","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","matrix.agent.diplomatie.tchap.gouv.fr/143.196.253.101","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","matrix.agent.diplomatie.tchap.gouv.fr/143.196.253.101","443","LOW","offered","","CWE-310"
"cipherlist_GOOD","matrix.agent.diplomatie.tchap.gouv.fr/143.196.253.101","443","INFO","not offered","",""
"cipherlist_STRONG","matrix.agent.diplomatie.tchap.gouv.fr/143.196.253.101","443","OK","offered","",""
